code,date_from,parameter_value,rule_parameter_id/id,company_id/id,id
taux_laa_a1_employe,2021-01-01,2.36,d4e_ch_payroll_data.hr_rule_parameter_14_680310fd,base.main_company,d4e_ch_payroll_data.taux_laa_a1_employe_value_value
plafond_avs_mensuel,2021-01-01,1400,d4e_ch_payroll_data.hr_rule_parameter_2_98b057df,base.main_company,d4e_ch_payroll_data.plafond_avs_mensuel_value_value
taux_laa_a1_employeur,2021-01-01,3.2832,d4e_ch_payroll_data.hr_rule_parameter_15_ddc39b47,base.main_company,d4e_ch_payroll_data.taux_laa_a1_employeur_value_value
taux_avs_employe,2021-01-01,5.3,d4e_ch_payroll_data.hr_rule_parameter_3_4cda1a97,base.main_company,d4e_ch_payroll_data.taux_avs_employe_value
taux_avs_employeur,2021-01-01,5.535,d4e_ch_payroll_data.hr_rule_parameter_4_8fd6aa68,base.main_company,d4e_ch_payroll_data.taux_avs_employeur_value
taux_laa_a2_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_35_f47525a1,base.main_company,d4e_ch_payroll_data.taux_laa_a2_employeur_value
plafond_ac_mensuel,2021-01-01,12350,d4e_ch_payroll_data.hr_rule_parameter_5_49e7d372,base.main_company,d4e_ch_payroll_data.plafond_ac_mensuel_value
taux_ac_employe,2021-01-01,1.1,d4e_ch_payroll_data.hr_rule_parameter_6_4887f955,base.main_company,d4e_ch_payroll_data.taux_ac_employe_value
taux_laa_a3_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_36_c23ed1b1,base.main_company,d4e_ch_payroll_data.taux_laa_a3_employeur_value
taux_ac_employeur,2021-01-01,1.1,d4e_ch_payroll_data.hr_rule_parameter_7_c5b39983,base.main_company,d4e_ch_payroll_data.taux_ac_employeur_value
taux_accomp_employe,2021-01-01,0.5,d4e_ch_payroll_data.hr_rule_parameter_8_08a4ef4a,base.main_company,d4e_ch_payroll_data.taux_accomp_employe_value
taux_laa_b1_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_37_5f1e5ecb,base.main_company,d4e_ch_payroll_data.taux_laa_b1_employe_value
taux_accomp_employeur,2021-01-01,0.5,d4e_ch_payroll_data.hr_rule_parameter_9_34bb5bae,base.main_company,d4e_ch_payroll_data.taux_accomp_employeur_value
plafond_ijm_mensuel,2021-01-01,16666.67,d4e_ch_payroll_data.hr_rule_parameter_10_06281d1c,base.main_company,d4e_ch_payroll_data.plafond_ijm_mensuel_value
taux_laa_b1_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_39_b9d1d8c0,base.main_company,d4e_ch_payroll_data.taux_laa_b1_employeur_value
taux_laa_b2_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_40_133b8ff6,base.main_company,d4e_ch_payroll_data.taux_laa_b2_employeur_value
plafond_laa_mensuel,2021-01-01,12350,d4e_ch_payroll_data.hr_rule_parameter_13_209c5a1a,base.main_company,d4e_ch_payroll_data.plafond_laa_mensuel_value
taux_laa_b3_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_41_728ce536,base.main_company,d4e_ch_payroll_data.taux_laa_b3_employeur_value
taux_ijm_f_employe,2021-01-01,1.33,d4e_ch_payroll_data.hr_rule_parameter_11_e7c3acec,base.main_company,d4e_ch_payroll_data.taux_ijm_f_employe_value
taux_allocfam_employe,2021-01-01,0.3,d4e_ch_payroll_data.hr_rule_parameter_17_86807c13,base.main_company,d4e_ch_payroll_data.taux_allocfam_employe_value
taux_allocfam_employeur,2021-01-01,2.8,d4e_ch_payroll_data.hr_rule_parameter_18_66a2d6ed,base.main_company,d4e_ch_payroll_data.taux_allocfam_employeur_value
taux_ijm_m_employe,2021-01-01,1.33,d4e_ch_payroll_data.hr_rule_parameter_42_d6ed0624,base.main_company,d4e_ch_payroll_data.taux_ijm_m_employe_value
taux_ijm_f_employeur,2021-01-01,1.9,d4e_ch_payroll_data.hr_rule_parameter_12_26d6bd1c,base.main_company,d4e_ch_payroll_data.taux_ijm_f_employeur_value
plafond_lpp_mensuel,2021-01-01,7170,d4e_ch_payroll_data.hr_rule_parameter_21_0869e984,base.main_company,d4e_ch_payroll_data.plafond_lpp_mensuel_value
montant_lpp_coordination,2021-01-01,2091.25,d4e_ch_payroll_data.hr_rule_parameter_22_faca7712,base.main_company,d4e_ch_payroll_data.montant_lpp_coordination_value
taux_ijm_m_employeur,2021-01-01,1.9,d4e_ch_payroll_data.hr_rule_parameter_43_d4e96545,base.main_company,d4e_ch_payroll_data.taux_ijm_m_employeur_value
taux_lpp_a_employeur,2021-01-01,1,d4e_ch_payroll_data.hr_rule_parameter_20_1de66228,base.main_company,d4e_ch_payroll_data.taux_lpp_a_employeur_value
age_retraite_femme,2021-01-01,64,d4e_ch_payroll_data.hr_rule_parameter_24_a426214b,base.main_company,d4e_ch_payroll_data.age_retraite_femme_value
taux_lpp_a_employe,2021-01-01,5.75,d4e_ch_payroll_data.hr_rule_parameter_19_0db8673f,base.main_company,d4e_ch_payroll_data.taux_lpp_a_employe_value
age_retraite_homme,2021-01-01,65,d4e_ch_payroll_data.hr_rule_parameter_25_0af7f452,base.main_company,d4e_ch_payroll_data.age_retraite_homme_value
frais_repas,2021-01-01,19,d4e_ch_payroll_data.hr_rule_parameter_26_421aadaf,base.main_company,d4e_ch_payroll_data.frais_repas_value
taux_lpp_b_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_45_ef6ea15b,base.main_company,d4e_ch_payroll_data.taux_lpp_b_employeur_value
taux_lpp_b_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_46_270322e3,base.main_company,d4e_ch_payroll_data.taux_lpp_b_employe_value
taux_ctbpro_employé,2021-01-01,1,d4e_ch_payroll_data.hr_rule_parameter_29_e6b131a8,base.main_company,d4e_ch_payroll_data.taux_ctbpro_employé_value
taux_fond_prof_employe,2021-01-01,0.01,d4e_ch_payroll_data.hr_rule_parameter_30_b0b32ae1,base.main_company,d4e_ch_payroll_data.taux_fond_prof_employe_value
taux_lpp_c_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_47_d0e4e06d,base.main_company,d4e_ch_payroll_data.taux_lpp_c_employeur_value
vacances_20,2021-01-01,14.1,d4e_ch_payroll_data.hr_rule_parameter_32_df1f6939,base.main_company,d4e_ch_payroll_data.vacances_20_value
vacances_50,2021-01-01,16.1,d4e_ch_payroll_data.hr_rule_parameter_33_cc2e9f82,base.main_company,d4e_ch_payroll_data.vacances_50_value
taux_lpp_c_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_49_b0e37ef6,base.main_company,d4e_ch_payroll_data.taux_lpp_c_employe_value
taux_lpp_d_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_50_9c9812b9,base.main_company,d4e_ch_payroll_data.taux_lpp_d_employeur_value
taux_lpp_d_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_51_e25a9cd7,base.main_company,d4e_ch_payroll_data.taux_lpp_d_employe_value
taux_lppc_25_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_53_f67bcab3,base.main_company,d4e_ch_payroll_data.taux_lppc_25_employeur_value
taux_lppc_25_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_52_ae514129,base.main_company,d4e_ch_payroll_data.taux_lppc_25_employe_value
taux_lppc_35_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_54_388b1fa9,base.main_company,d4e_ch_payroll_data.taux_lppc_35_employe_value
taux_lppc_35_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_55_d6c40ef7,base.main_company,d4e_ch_payroll_data.taux_lppc_35_employeur_value
taux_lppc_45_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_56_e570e85a,base.main_company,d4e_ch_payroll_data.taux_lppc_45_employe_value
taux_lppc_45_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_57_b1a18c72,base.main_company,d4e_ch_payroll_data.taux_lppc_45_employeur_value
taux_lppc_55_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_58_e147e8a6,base.main_company,d4e_ch_payroll_data.taux_lppc_55_employe_value
taux_lppc_55_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_59_fae9213d,base.main_company,d4e_ch_payroll_data.taux_lppc_55_employeur_value
taux_retant_employe,2021-01-01,2.5,d4e_ch_payroll_data.hr_rule_parameter_28_4a07f39e,base.main_company,d4e_ch_payroll_data.taux_retant_employe_value
taux_13eme,2021-01-01,8.3333,d4e_ch_payroll_data.hr_rule_parameter_23_980e72fc,base.main_company,d4e_ch_payroll_data.taux_13eme_value
taux_cps_employe,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_65_54003543,base.main_company,d4e_ch_payroll_data.taux_cps_employe_value
taux_retant_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_62_821cc53a,base.main_company,d4e_ch_payroll_data.taux_retant_employeur_value
taux_fond_prof_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_64_9c60a90d,base.main_company,d4e_ch_payroll_data.taux_fond_prof_employeur_value
taux_ctbpro_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_63_9e55a33f,base.main_company,d4e_ch_payroll_data.taux_ctbpro_employeur_value
taux_cps_employeur,2021-01-01,0,d4e_ch_payroll_data.hr_rule_parameter_66_f6ba661f,base.main_company,d4e_ch_payroll_data.taux_cps_employeur_value
