name,condition_select,category_id/id,rule_type,code,struct_id/id,sequence,active,appears_on_payslip,condition_python,amount_select,amount_python_compute,payslip_imprime_opt,rubrique_certificat,payslip_rubrique,id
Nombre de fiche de salaire,none,d4e_ch_payroll_data.REPORT_1,storage data,001,d4e_ch_payroll_data.Standard_structure,1,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = employee.hr_payslip_number,tj_imprime,Aucune rubrique,,120
Cumul AVS,none,d4e_ch_payroll_data.REPORT_1,calculation basis,002,d4e_ch_payroll_data.Standard_structure,2,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('AVS_BASE'):
  for m in table_calcul_base['AVS_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['AVS_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,121
Cumul AC,none,d4e_ch_payroll_data.REPORT_1,calculation basis,003,d4e_ch_payroll_data.Standard_structure,3,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('AC_BASE'):
  for m in table_calcul_base['AC_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['AC_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,132
Cumul LAA,none,d4e_ch_payroll_data.REPORT_1,calculation basis,004,d4e_ch_payroll_data.Standard_structure,4,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('LAA_BASE'):
  for m in table_calcul_base['LAA_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['LAA_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,133
Cumul IJM,none,d4e_ch_payroll_data.REPORT_1,calculation basis,005,d4e_ch_payroll_data.Standard_structure,5,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('IJM_BASE'):
  for m in table_calcul_base['IJM_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['IJM_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,134
Cumul LPP,none,d4e_ch_payroll_data.REPORT_1,calculation basis,006,d4e_ch_payroll_data.Standard_structure,6,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('LPP_BASE'):
  for m in table_calcul_base['LPP_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['LPP_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,135
Cumul ACC,none,d4e_ch_payroll_data.REPORT_1,calculation basis,007,d4e_ch_payroll_data.Standard_structure,7,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('ACC_BASE'):
  for m in table_calcul_base['ACC_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['ACC_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,136
Cumul IS,none,d4e_ch_payroll_data.REPORT_1,calculation basis,008,d4e_ch_payroll_data.Standard_structure,8,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('IS_BASE'):
  for m in table_calcul_base['IS_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['IS_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,137
Cumul Vacances,none,d4e_ch_payroll_data.REPORT_1,calculation basis,009,d4e_ch_payroll_data.Standard_structure,9,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('VAC_BASE'):
  for m in table_calcul_base['VAC_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['VAC_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,278
Salaire mensuel,none,d4e_ch_payroll_data.GROSS_1,section,R1000,d4e_ch_payroll_data.Standard_structure,1000,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = contract.wage,tj_imprime,1 Salaire / Rente,Salaire Brut,4
